title,year,developer,era,metacritic_score,user_score,steam_app_id
Call of Duty,2003,Infinity Ward,Classic,91.0,8.5,
Call of Duty 2,2005,Infinity Ward,Classic,86.0,8.2,
Call of Duty 3,2006,Treyarch,Classic,82.0,7.1,
Call of Duty 4: Modern Warfare,2007,Infinity Ward,Classic,94.0,8.7,
Call of Duty: World at War,2008,Treyarch,Classic,83.0,7.8,
Call of Duty: Modern Warfare 2,2009,Infinity Ward,Classic,86.0,5.1,
Call of Duty: Black Ops,2010,Treyarch,Classic,87.0,7.6,
Call of Duty: Modern Warfare 3,2011,Infinity Ward,Classic,78.0,2.7,
Call of Duty: Black Ops II,2012,Treyarch,Classic,83.0,7.1,
Call of Duty: Ghosts,2013,Infinity Ward,Transitional,68.0,2.4,
Call of Duty: Advanced Warfare,2014,Sledgehammer Games,Transitional,74.0,4.7,
Call of Duty: Black Ops III,2015,Treyarch,Transitional,73.0,5.1,
Call of Duty: Infinite Warfare,2016,Infinity Ward,Transitional,76.0,2.6,
Call of Duty: WWII,2017,Sledgehammer Games,Transitional,77.0,5.4,
Call of Duty: Black Ops 4,2018,Treyarch,Live Service,83.0,5.3,
Call of Duty: Modern Warfare,2019,Infinity Ward,Live Service,81.0,6.2,
Call of Duty: Black Ops Cold War,2020,Treyarch,Live Service,76.0,5.0,
Call of Duty: Vanguard,2021,Sledgehammer Games,Live Service,63.0,2.2,
Call of Duty: Modern Warfare II,2022,Infinity Ward,Live Service,73.0,4.2,1938090.0
Call of Duty: Modern Warfare III,2023,Infinity Ward,Live Service,56.0,3.7,2519060.0
Call of Duty: Black Ops 6,2024,Treyarch,Live Service,75.0,6.3,
Call of Duty: Black Ops 7,2025,Treyarch,Live Service,65.0,,
